id_cliente;nombre;sexo;fecha_nacimiento;distrito;fecha_alta;segmento_programa
C00082;Jordana Ayllón-Ibañez;F;2004-03-19;Huancayo;07/02/2022;Bronce
C00083;Rosario Sobrino Molins;F;28/11/2005;San Miguel;2025-11-21;Plata
C00084;Sabina Pacífica Vargas Roldan;F;1999-09-12;San Isidro;14/03/2024;Bronce
C00085;Ramiro Taboada Sandoval;M;26/12/1969;Cusco;21/09/2022;Bronce
C00086;Rodolfo Vázquez Tormo;M;05/02/1989;Callao;2022-11-09;Plata
C00087;Pepe Macias Guitart;M;1970-08-21;Piura;29/01/2023;Bronce
C00088;Apolinar Chacón-Contreras;M;14 de July de 1968;San Isidro;2024-12-02;Bronce
C00089;Ana Belén Ribera Ramón;F;18/09/1973;San Isidro;2023-10-19;Plata
C00090;Cristian Rivera Porras;M;2003-07-23;Ate;2024-05-18;Bronce
C00091;Tiburcio Pintor Tapia;M;25/10/1956;Ate;28 de March de 2023;Plata
C00092;Teodosio Rius;M;1984-06-29;Miraflores;2025-02-13;Bronce
C00093;Viviana Constanza Torrents Gimenez;F;13/09/1970;Cusco;23/11/2023;Black
C00094;Florentino Quiroga;M;01/03/1994;Comas;2025-08-22;Oro
C00095;María Amores Prada;M;15/04/1987;Comas;07 de October de 2024;Plata
C00096;Milagros Romero Cerdá;F;2001-08-01;Ate;2022-05-26;Bronce
C00097;Goyo Morán Galán;M;25 de February de 1980;La Molina;2023-03-02;Bronce
C00098;Emilio Robles;M;17/08/1969;Cusco;28/11/2021;Plata
C00099;Reinaldo Azorin Olmo;M;02 de March de 1968;Cusco;04/11/2021;Bronce
C00100;Priscila Anguita Huertas;F;1966-11-16;Trujillo;2021-08-09;Bronce
C00101;Dimas Cases Sáenz;M;1991-04-27;Huancayo;12/04/2024;Bronce
C00102;Josefa Jaén Peinado;F;1965-03-26;Chiclayo;29/06/2024;Bronce
C00103;Roque Céspedes Merino;M;17/02/1962;;19/08/2021;Bronce
C00104;Maricela Perez Puente;F;2005-06-18;Piura;2022-06-25;Plata
C00105;Nuria Selena Herrero Cal;F;1992-10-05;Surco;2022-12-27;Bronce
C00106;Rosenda Azeneth Armengol Olivera;F;17/03/1984;Piura;2024-10-04;Oro
C00107;Lilia Nogueira Alberola;F;07/09/2000;Surco;20 de July de 2025;Bronce
C00108;Iris Paredes Segura;F;1993-04-15;San Miguel;2023-08-25;Bronce
C00109;Modesta León-Tomás;F;1980-09-05;Surco;26/07/2025;Bronce
C00110;Eloy Felix Higueras Bolaños;M;05/01/1971;Surco;22 de September de 2023;Plata
C00111;Mariana del Navarrete;F;01/01/1958;Piura;2025-09-10;Bronce
C00112;Jose Francisco Garay Pacheco;M;1997-12-29;San Miguel;2023-03-07;Oro
C00113;Odalys Vanesa Llorente Agustín;F;16/05/1983;Ate;2022-06-12;Bronce
C00114;Pacífica Ramos Torres;F;17/05/1985;Surco;2022-09-08;Plata
C00115;Mireia del Samper;F;27/09/1997;San Miguel;2021-12-18;Bronce
C00116;Graciela Hervia Medina;F;12/01/1991;Miraflores;2023-04-28;Bronce
C00117;Juan Manuel Núñez-Roig;M;01/05/2008;;19/03/2024;Oro
C00118;Odalys Santiago Lillo;F;14/06/1972;Miraflores;22 de August de 2022;Oro
C00119;Fausto Carreras Esteve;M;20/06/1966;La Molina;2025-02-20;Plata
C00120;Porfirio Zamorano Luna;M;2007-06-29;Huancayo;08/08/2025;Plata
C00121;Danilo Paniagua Escobar;M;23/03/1972;Cusco;2024-12-27;Plata
C00122;Eli Arroyo Ballester;F;1985-04-13;Surco;2024-12-08;Oro
C00123;Merche Tudela Calderon;F;20/11/2001;Cusco;30/04/2024;Plata
C00124;Julia del Niño;F;1966-02-04;Los Olivos;2021-10-04;Bronce
C00125;Aurora de Pérez;F;1982-01-29;Surco;2024-05-05;Bronce
C00126;Bárbara Company Mateu;F;08/12/1960;Comas;2022-09-22;Bronce
C00127;Ramona Rico-Gonzalez;F;1996-11-03;Comas;2023-05-18;Plata
C00128;Emma del Mayoral;F;28/01/1986;Los Olivos;20 de October de 2021;Oro
C00129;Rico Galiano Galván;M;09 de April de 1970;Piura;2021-11-26;Bronce
C00130;Chema Benavides Crespi;M;25 de August de 1956;Ate;21 de September de 2023;Oro
C00131;Joel Esteban Antúnez Guardiola;M;28/06/1971;La Molina;2022-11-24;Plata
C00132;Andrés Felipe de Lamas;M;22/06/1997;Piura;31/07/2024;Bronce
C00133;Ibán Cardona Gomila;M;1990-03-08;Miraflores;2025-12-22;Plata
C00134;Andrés Felipe Barreda Daza;M;1997-09-21;La Molina;2024-06-07;Bronce
C00135;Édgar Ernesto Saavedra Casanova;M;17/11/1980;Trujillo;01/01/2023;Plata
C00136;Elena Vall;F;1984-08-02;;29/08/2023;Oro
C00137;Almudena Vilma Rosales Mora;F;25/11/1987;Huancayo;19/08/2021;Plata
C00138;Nicolás Almansa Leon;M;22/06/1986;Huancayo;2025-04-05;Plata
C00139;Joel Villena Salamanca;M;22/02/2004;Chiclayo;26/05/2022;Bronce
C00140;Isaías Maximino Téllez Bou;M;12/12/1980;Huancayo;07/07/2023;Bronce
C00141;Nico Calvo Cuevas;M;28/08/1973;Surco;2024-12-01;Plata
C00142;Natanael Pérez Arco;M;28/02/1980;Surco;20/01/2023;Bronce
C00143;Azahar Quintero Vilar;F;1999-05-28;Arequipa;2021-07-06;Plata
C00144;Joaquina Reyes-Ballester;F;06/04/1966;Cusco;15/04/2023;Plata
C00145;Matías del Aznar;M;04 de February de 1967;Piura;2024-03-16;Bronce
C00146;Isabel Tormo Carrión;F;1958-01-04;San Isidro;2024-08-09;Plata
C00147;Olimpia Cuadrado Mercader;F;24/02/1985;Chiclayo;22/03/2024;Plata
C00148;Coral Carballo Serrano;F;2005-10-02;Cusco;2024-09-09;Oro
C00149;Josep Manzanares Verdú;M;10/03/1993;Trujillo;20/07/2023;Bronce
C00150;Jovita de Saura;F;04/03/1985;San Miguel;2023-05-24;Bronce
C00151;Liliana Piedad Cerezo Baños;F;1970-11-15;San Isidro;2025-05-23;Bronce
C00152;Evita Vera;F;27/05/1970;;08/07/2021;Plata
C00153;Silvio Tovar Comas;M;23/09/1979;Huancayo;2023-11-21;Plata
C00154;Mamen Pi Sarabia;F;2005-01-05;Huancayo;2025-10-13;Bronce
C00155;Lucho Piñol Guillen;M;2001-01-07;Miraflores;2023-07-12;Oro
C00156;Petrona Suárez Piquer;F;01/08/1976;Arequipa;08/10/2024;Oro
C00157;Jose Miguel Arco Cases;M;1982-08-17;San Isidro;29/05/2024;Plata
C00158;Ulises Sacristán Cabo;M;1983-11-09;San Isidro;2023-10-03;Bronce
C00159;Guadalupe Cortes Benavides;F;02/12/1980;Arequipa;10 de April de 2026;Bronce
C00160;Matilde Puga Bernat;F;2000-10-18;Piura;2025-09-12;Bronce
C00161;Fortunata Moliner-Torrents;F;2001-11-14;;2021-09-06;Plata
C00162;Custodia Madrigal Gordillo;F;04/05/1995;Chiclayo;22/08/2023;Black
C00163;Ricardo Cabrera Salcedo;M;27/02/1965;Arequipa;2022-12-24;Oro
C00164;Amalia Morata Barba;F;06/10/1971;San Miguel;2023-05-08;Black
C00165;Donato Requena Escolano;M;07/05/1965;Surco;2021-11-22;Bronce
C00166;Martín Hernando;M;1982-05-21;Trujillo;2024-05-16;Bronce
C00167;Joaquina Izquierdo Segura;F;1969-10-14;Comas;2021-07-20;Plata
C00168;Xiomara del Cruz;F;1960-05-07;Surco;2026-02-26;Oro
C00169;Eutimio Miguel Rodrigo Ibáñez;M;1980-04-06;Chiclayo;28/12/2022;Bronce
C00170;Tamara Tomas;F;1962-01-20;Miraflores;2023-05-20;Plata
C00171;Lucio Marqués Marquez;M;25/08/1957;Huancayo;2025-08-03;Oro
C00172;Eli Aguiló;F;08/12/1985;La Molina;2024-11-17;Plata
C00173;Xavier Valdés Macías;M;04/11/1996;San Isidro;21/08/2022;Plata
C00174;Damián Falcón Iglesia;M;02 de October de 1991;Cusco;19/01/2025;Bronce
C00175;Maxi Caballero Ariza;F;28/07/1972;San Isidro;2023-09-04;Bronce
C00176;Germán Pío Catalá Bosch;M;22/10/2003;San Isidro;11/02/2023;Plata
C00177;Chucho Font;M;20/05/1963;Comas;28/02/2024;Plata
C00178;Luisa Valls Llamas;F;1999-09-10;Surco;2022-10-08;Bronce
C00179;Samuel del Nevado;M;1998-04-29;Ate;2023-10-23;Plata
C00180;Bibiana Gonzalez Puerta;F;21/10/2006;Huancayo;18/06/2025;Plata
C00181;Apolonia Prat Alcalá;F;1970-04-05;La Molina;2022-02-11;Plata
C00182;Nerea Juárez Piquer;F;10/04/1999;Chiclayo;17/02/2026;Bronce
C00183;Nereida Guillen Soto;F;23/10/1957;Los Olivos;2025-11-08;Bronce
C00184;Fernando Giralt-Barroso;M;1989-07-19;Huancayo;16 de October de 2023;Plata
C00185;Moreno Real Carnero;M;11/10/1963;Comas;2026-02-28;Oro
C00186;Leire Carmona Cabanillas;F;1968-09-19;;24/02/2024;Plata
C00187;Javi Peláez;M;1991-05-16;La Molina;28 de February de 2025;Oro
C00188;Hortensia Cortes-Ribera;F;25/07/1990;Trujillo;10/08/2025;Bronce
C00189;Griselda Elisa Aparicio Pellicer;F;1967-10-22;Chiclayo;2023-09-11;Bronce
C00190;Tania Pareja Cabezas;F;07/07/2007;Ate;2023-04-25;Bronce
C00191;Ana Puig Llorente;F;1966-05-19;Trujillo;08/02/2022;Plata
C00192;Artemio de Almazán;M;20/02/1959;Comas;23 de February de 2023;Bronce
C00193;Roberta Fuertes Bayona;F;28/08/1999;Piura;25 de March de 2024;Plata
C00194;Concepción Ruth Guijarro Moya;F;09/10/1996;La Molina;2025-05-21;Bronce
C00195;Abril Eliana Coca Castillo;F;06/08/1984;Ate;07/06/2025;Bronce
C00196;Natalio Amigó Catalá;M;1957-04-13;Ate;23/05/2025;Plata
C00197;Macario Morante Alcázar;M;1965-07-27;Callao;2021-10-06;Plata
C00198;Lucila Carballo;F;13/04/1995;Trujillo;06 de November de 2023;Plata
C00199;José María Canales Sans;M;15/09/1982;Surco;26 de February de 2026;Plata
C00200;Pascuala Vázquez Mata;F;29 de April de 1980;Comas;01 de April de 2026;Bronce
C00201;Jose Querol Roldan;M;08/03/1992;Callao;02/12/2023;Oro
C00202;Angelina de Montserrat;F;1988-02-20;Chiclayo;2021-10-30;Plata
C00203;Mateo Morcillo Piquer;M;23/03/2008;La Molina;2024-02-12;Oro
C00204;Ligia del Cabezas;F;1997-09-30;San Miguel;25/01/2022;Bronce
C00205;Palmira Garrido-Ropero;F;27/12/1979;Chiclayo;2022-08-18;Bronce
C00206;Sarita Santana Pujadas;F;1978-02-20;Piura;2021-12-21;Bronce
C00207;Estefanía Jara;F;1975-12-21;Arequipa;2022-04-04;Plata
C00208;Anabel de Blázquez;F;10/05/1961;San Miguel;2021-12-24;Oro
C00209;Santiago Castillo Barreda;M;02/01/1987;Comas;2024-04-08;Bronce
C00210;Nico Carvajal Reig;M;1974-11-23;Los Olivos;11/10/2024;Bronce
C00211;Teófila Aznar;F;2006-11-11;Ate;16 de June de 2024;Black
C00212;Baldomero Vera Garcia;M;1964-07-21;Huancayo;2023-11-17;Bronce
C00213;Gabino Pedrero Cardona;M;29/02/1996;Surco;30/04/2024;Bronce
C00214;Telmo Amo;M;1988-03-05;Arequipa;28 de September de 2024;Bronce
C00215;Albina Escribano Llano;F;17/01/1993;Cusco;10/01/2023;Bronce
C00216;Felicia Aguado Escudero;F;2001-09-27;Ate;16/04/2024;Oro
C00217;Andrés Cifuentes;M;1995-01-14;Huancayo;15/04/2026;Oro
C00218;Raúl Garrido Peñalver;M;04/05/1978;Callao;2023-03-08;Bronce
C00219;Esperanza Morata Blazquez;F;10/06/2002;Piura;2022-04-09;Bronce
C00220;Amador Nicolás Bilbao Lladó;M;20/07/1979;Los Olivos;2023-08-04;Bronce
C00221;Isaura Herminia Llano Garriga;F;1995-10-06;Chiclayo;24 de January de 2022;Bronce
C00222;Bartolomé Luque;M;1991-10-10;Surco;2024-06-03;Bronce
C00223;Natividad Mendez-Arroyo;F;1967-12-23;Surco;08/05/2026;Bronce
C00224;Abraham Fuente Mata;M;30/08/2005;San Miguel;12/04/2025;Bronce
C00225;Ema Mosquera Carretero;F;29/11/1956;San Miguel;2025-03-07;Oro
C00226;Berto Pinto Grau;M;1982-07-09;La Molina;09 de August de 2025;Plata
C00227;Andrés Felipe Puerta Arnal;M;11/03/1979;Cusco;08/10/2023;Bronce
C00228;Tere Millán Román;F;29/04/1986;Cusco;29/12/2024;Plata
C00229;Ema Cardona;F;27/07/1977;Chiclayo;05/04/2026;Bronce
C00230;Salvador Seguí Paredes;M;02/02/1961;Piura;29/08/2025;Oro
C00231;Isa Pérez Zamora;F;1960-08-06;Comas;2025-10-15;Plata
C00232;Dan Mínguez Diéguez;M;24/06/1960;Chiclayo;2024-08-14;Bronce
C00233;Lina Ferrera-Olmedo;F;07/10/1974;Piura;2026-03-21;Bronce
C00234;Custodia Calderon Coll;F;1969-10-26;Ate;2022-05-11;Oro
C00235;Ricardo Benet Elorza;M;2005-12-21;Los Olivos;05/08/2024;Bronce
C00236;Priscila del Moraleda;F;12/06/2001;Surco;04/08/2024;Bronce
C00237;Isidro Bayo Somoza;M;1979-07-03;;30/12/2022;Bronce
C00238;Manolo Barbero Ortiz;M;21/11/1982;Comas;12 de January de 2023;Bronce
C00239;Alma de Peinado;F;03/10/1999;Surco;2021-11-18;Plata
C00240;Marino Vendrell Planas;M;1980-07-26;Arequipa;26/03/2024;Plata
C00241;Javiera Fabra Montoya;F;20 de December de 1987;Huancayo;21/12/2023;Oro
C00242;Jafet Calderón Nuñez;M;2007-08-04;Cusco;02/12/2021;Black
C00243;Alex Huguet Río;M;14/01/2008;Comas;2024-01-31;Bronce
C00244;Cebrián Germán Peralta Luna;M;26/08/1976;Chiclayo;25/04/2025;Bronce
C00245;Amancio Ruperto Nadal Bastida;M;26/08/1973;Huancayo;01/04/2024;Black
C00246;Erasmo Iniesta;M;1994-02-21;Trujillo;25 de September de 2024;Bronce
C00247;Ulises Carlito Mínguez Bertrán;M;23/10/1986;Huancayo;2022-03-15;Bronce
C00248;Esmeralda Pou Castelló;F;1987-06-14;;2026-02-13;Bronce
C00249;Lino Peñas Moya;M;1998-10-17;Huancayo;2024-10-20;Black
C00250;Araceli Roda-Verdugo;F;28/04/1975;Ate;16/04/2023;Black
C00251;Clotilde Noguera Torre;F;29 de June de 1966;San Isidro;04/06/2026;Bronce
C00252;Antonio Marqués Cadenas;M;28/11/1982;Cusco;2024-02-28;Plata
C00253;Alejo Navarro-Castro;M;25/07/1987;Comas;2022-04-07;Bronce
C00254;Selena Daza Río;F;13/10/1958;Piura;2023-04-19;Bronce
C00255;Isidora López Sanchez;F;04 de September de 1968;Chiclayo;2022-09-06;Plata
C00256;Vito de Pedro;M;1991-10-12;Arequipa;24 de April de 2024;Oro
C00257;Jerónimo del Piña;M;29 de August de 1982;Los Olivos;26/07/2023;Bronce
C00258;Salomé Flores Chacón;F;26/11/2001;Piura;05/10/2021;Plata
C00259;Ulises del Calderon;M;1993-07-01;Comas;2024-01-17;Bronce
C00260;Erasmo Blanes Cueto;M;1970-09-10;Miraflores;16 de December de 2025;Bronce
C00261;Selena Ruiz Bravo;F;2005-09-20;Arequipa;2022-08-07;Plata
C00262;Verónica del Amor;F;30/01/1978;Chiclayo;16/06/2023;Oro
C00263;Custodia Polo Bilbao;F;1976-01-02;Cusco;23/08/2021;Bronce
C00264;Simón Naranjo Coll;M;1963-08-31;Piura;2022-12-01;Bronce
C00265;Obdulia de Somoza;F;1979-11-01;Callao;13/07/2021;Bronce
C00266;Agustina Jaén Garriga;F;1999-12-04;Chiclayo;2024-03-16;Bronce
C00267;Juan Luis Héctor Cantero Maldonado;M;1968-11-12;Comas;2022-02-07;Black
C00268;Hortensia Sebastián Barros;F;10/04/1962;Piura;2025-12-16;Bronce
C00269;Lupe Adriana Villalba Herranz;F;14 de November de 1993;San Isidro;09/12/2022;Black
C00270;Marino Osorio Hernandez;M;08/03/1986;Callao;2022-06-05;Plata
C00271;Luciana Palomo Bauzà;F;31/01/2006;Ate;07/03/2024;Bronce
C00272;Manola Almagro-Portero;F;02/12/2001;Chiclayo;20 de September de 2021;Bronce
C00273;Florentina Izaguirre;F;1995-05-15;Los Olivos;06/04/2023;Bronce
C00274;Fabiola Hernando Calleja;F;16/08/1996;La Molina;2025-02-14;Plata
C00275;Benita Arregui Ortuño;F;24/11/1984;;04/07/2025;Oro
C00276;Severo Sobrino Tejero;M;10 de May de 1989;Comas;2025-07-01;Plata
C00277;Otilia Seco Arco;F;1971-10-08;Los Olivos;20/09/2021;Bronce
C00278;Vicenta Arnaiz Moles;F;2005-01-15;Chiclayo;16 de January de 2024;Oro
C00279;Juana Isern-Arce;F;05/09/1995;Huancayo;12/06/2022;Plata
C00280;Tomás Asenjo Mármol;M;18/09/1970;Cusco;2025-06-09;Bronce
C00281;Vilma Páez;F;1995-02-27;San Miguel;2025-11-27;Bronce
C00282;Fortunato Estévez;M;1982-04-23;San Miguel;15/12/2023;Bronce
C00283;Eliseo Blanch-Rodriguez;M;12/08/1960;La Molina;20 de June de 2024;Plata
C00284;Magdalena Marin Montesinos;F;04/11/1961;Cusco;13/02/2023;Bronce
C00285;Ezequiel Salmerón Rojas;M;05 de March de 1965;Callao;2023-09-09;Plata
C00286;Alfonso del Royo;M;14/10/1970;Arequipa;30/04/2026;Plata
C00287;Angelita Ramis Parra;F;1983-03-10;Surco;2025-03-12;Bronce
C00288;Albino Clavero Ríos;M;1958-04-27;Callao;01/11/2021;Oro
C00289;Fidela Piñol Antúnez;F;21/12/1987;Huancayo;05 de November de 2024;Bronce
C00290;Gilberto Saldaña Benítez;M;1986-05-08;Comas;10/02/2024;Bronce
C00291;Estefanía Lopez;F;1969-06-27;Miraflores;2022-01-23;Bronce
C00292;Leticia Villaverde Pombo;F;04/01/2004;La Molina;2022-01-31;Bronce
C00293;Ofelia Salmerón Garmendia;F;2008-04-25;Miraflores;29/11/2022;Bronce
C00294;Chus de Cerdá;F;2000-11-07;Miraflores;24/09/2023;Bronce
C00295;Armando del Olivera;M;27/05/1993;Comas;18 de March de 2024;Bronce
C00296;Violeta Marín Criado;F;1993-07-09;;25/01/2026;Bronce
C00297;Rosalina Pardo Verdugo;F;03 de March de 1968;San Miguel;2026-05-09;Oro
C00298;Cándida Uribe Amo;F;11/04/1975;San Isidro;27/04/2024;Bronce
C00299;Rosaura de Boix;F;05/12/1959;Miraflores;19/06/2023;Bronce
C00300;Juan José del Recio;M;27/04/1999;San Miguel;2021-11-13;Oro
C00301;Miguela Benavent Sandoval;F;24 de September de 1980;La Molina;19 de January de 2024;Bronce
C00302;Valeria Espada Castelló;F;02/01/1979;San Miguel;26/12/2025;Plata
C00303;Selena Casanova Villegas;F;1964-06-19;Cusco;25/04/2022;Oro
C00304;Olimpia Gomis Oliva;F;2005-10-10;;2024-01-22;Bronce
C00305;Teo Bermúdez Iglesia;M;1966-09-19;Surco;2026-03-18;Bronce
C00306;Begoña Mateo Bueno;F;22 de August de 1982;Surco;2022-05-03;Oro
C00307;Calista Carlota Nebot Armengol;F;02 de June de 1999;Chiclayo;2021-08-23;Bronce
C00308;Miguela Landa Galvez;F;22/05/1996;Surco;2023-07-22;Plata
C00309;Leonor Manjón Matas;F;15/08/1981;San Isidro;19/06/2025;Plata
C00310;Eustaquio Santana;M;1960-04-21;Callao;19 de October de 2021;Bronce
C00311;Hipólito del Sobrino;M;13/02/1967;;28/06/2024;Bronce
C00312;Tomás Montaña Ojeda;M;24/03/2007;Trujillo;23/02/2022;Oro
C00313;Lola Camino Montaña;F;1969-01-29;La Molina;2022-02-09;Bronce
C00314;Duilio de Caballero;M;1959-02-21;Chiclayo;26/02/2026;Black
C00315;Hortensia Diana Cuesta Morán;F;2005-01-22;Cusco;2025-01-19;Bronce
C00316;Rico Cuervo Valentín;M;2008-04-18;Piura;20/10/2023;Plata
C00317;Leonor Alvarado Bosch;F;28/08/2005;Ate;29/12/2023;Bronce
C00318;Concepción Osorio Atienza;F;1959-02-20;Comas;10 de December de 2023;Bronce
C00319;Eloísa de Campos;F;1978-12-01;Los Olivos;05/11/2025;Bronce
C00320;Roberto Quintana Paz;M;11 de November de 1958;Miraflores;2021-10-03;Plata
C00321;Cleto Pareja-Malo;M;1960-05-01;Piura;27/12/2023;Oro
C00322;Enrique Carrera-Castells;M;2007-03-18;San Miguel;2023-06-11;Bronce
C00323;Manuela Pavón Cobos;F;10/11/1966;Arequipa;2024-01-04;Bronce
C00324;Almudena Arrieta-Arias;F;1963-08-20;Arequipa;22/02/2023;Black
